,phrases,w1,w2
81106,multiple officer,multiple,officer
72620,multiple weapon,multiple,weapon
17453,multiple outlet,multiple,outlet
31116,multiple medium,multiple,medium
11125,multiple request,multiple,request
79889,multiple gunman,multiple,gunman
6655,multiple people,multiple,people
5994,multiple report,multiple,report
419,multiple time,multiple,time
39366,multiple round,multiple,round
24517,multiple attack,multiple,attack
68716,multiple threat,multiple,threat
43629,multiple language,multiple,language
23645,multiple investigation,multiple,investigation
68631,multiple victim,multiple,victim
38675,multiple federal,multiple,federal
35939,multiple location,multiple,location
93103,multiple building,multiple,building
63318,multiple story,multiple,story
59841,multiple administration,multiple,administration
8821,murder victim,murder,victim
74732,murder occurred,murder,occur
23002,murder mystery,murder,mystery
81477,murder count,murder,count
1055,murder rate,murder,rate
37511,murder committed,murder,commit
52951,murder plot,murder,plot
92198,murder people,murder,people
15023,murder weapon,murder,weapon
12316,murder suspect,murder,suspect
4768,murder trial,murder,trial
62841,murder increase,murder,increase
4998,murder case,murder,case
27401,murder scene,murder,scene
45778,murder since,murder,since
58982,murder capital,murder,capital
24163,murder investigation,murder,investigation
1537,murder charge,murder,charge
54664,murder last,murder,last
82876,murder board,murder,board
58415,muscle car,muscle,car
38591,muscle memory,muscle,memory
26892,muscle pain,muscle,pain
29617,muscle mass,muscle,mass
97186,muscle cell,muscle,cell
13859,music scene,music,scene
15866,music career,music,career
66638,music playing,music,play
21555,music fan,music,fan
48085,music history,music,history
13838,music world,music,world
70059,music school,music,school
9349,music business,music,business
59026,music event,music,event
93643,music education,music,education
1110,music video,music,video
99276,music artist,music,artist
80708,music journalist,music,journalist
25879,music critic,music,critic
64417,music sound,music,sound
21265,music director,music,director
77026,music act,music,act
56564,music player,music,player
96220,music without,music,without
18715,music star,music,star
51782,music award,music,award
45062,music played,music,played
81796,music used,music,use
92767,music sale,music,sale
70574,music show,music,show
71658,music concert,music,concert
20327,music service,music,service
19190,music streaming,music,stream
23001,music teacher,music,teacher
3269,music industry,music,industry
86659,music come,music,come
68789,musical career,musical,career
86834,musical talent,musical,talent
76384,musical based,musical,base
37384,musical act,musical,act
79437,musical style,musical,style
24972,musical number,musical,number
68922,musical comedy,musical,comedy
63154,musical episode,musical,episode
33730,musical performance,musical,performance
75051,musical director,musical,director
75407,musical note,musical,note
56100,musical taste,musical,taste
72682,musical guest,musical,guest
21333,musical theater,musical,theater
11808,must change,must,change
73443,must carefully,must,carefully
72868,must fix,must,fix
28539,must step,must,step
43363,must file,must,file
87697,must talk,must,talk
41320,must offer,must,offer
43654,must turn,must,turn
21359,must approve,must,approve
21354,must either,must,either
28519,must mean,must,mean
43122,must explain,must,explain
3831,must pay,must,pay
87926,must add,must,add
4269,must first,must,first
74372,must contain,must,contain
72651,must bear,must,bear
88720,must cut,must,cut
54481,must believe,must,believe
4941,must remain,must,remain
75941,must strike,must,strike
44093,must defeat,must,defeat
87822,must send,must,send
54941,must clear,must,clear
90589,must sell,must,sell
21609,must wait,must,wait
54366,must figure,must,figure
72732,must establish,must,establish
5324,must come,must,come
88104,must join,must,join
11360,must protect,must,protect
11761,must keep,must,keep
42088,must call,must,call
56390,must build,must,build
20851,must stay,must,stay
43429,must spend,must,spend
77927,must respond,must,respond
44140,must wear,must,wear
39633,must bring,must,bring
99466,must identify,must,identify
37692,must see,must,see
86305,must receive,must,receive
16073,must pas,must,pa
3143,must stop,must,stop
52936,must raise,must,raise
25173,must hold,must,hold
32816,must allow,must,allow
14496,must put,must,put
39804,must greatly,must,greatly
76717,must buy,must,buy
9822,must understand,must,understand
60291,must set,must,set
60336,must earn,must,earn
18665,must live,must,live
18646,must move,must,move
80314,must oppose,must,oppose
80310,must fully,must,fully
44743,must lead,must,lead
77356,must deliver,must,deliver
60422,must break,must,break
27061,must deal,must,deal
31381,must seek,must,seek
26154,must sign,must,sign
62583,must create,must,create
68233,must release,must,release
17457,must become,must,become
14688,must face,must,face
6589,must get,must,get
37860,must return,must,return
6194,must work,must,work
13735,must choose,must,choose
32992,must play,must,play
77419,must treat,must,treat
6248,must find,must,find
80743,must watch,must,watch
26645,must cover,must,cover
19275,must start,must,start
13952,must feel,must,feel
93040,must hire,must,hire
25079,must immediately,must,immediately
59225,must walk,must,walk
77134,must travel,must,travel
58356,must really,must,really
19650,must rely,must,rely
30776,must leave,must,leave
81951,must secure,must,secure
23046,must speak,must,speak
10000,must give,must,give
45733,must help,must,help
14146,must include,must,include
77953,must fall,must,fall
10395,must follow,must,follow
13403,must accept,must,accept
80891,must love,must,love
77995,must present,must,present
10417,must show,must,show
82502,must exercise,must,exercise
78522,must pick,must,pick
22522,must avoid,must,avoid
98327,must point,must,point
40526,must happen,must,happen
20242,must begin,must,begin
96666,must improve,must,improve
18128,must prove,must,prove
5478,must always,must,always
25758,must tell,must,tell
18111,must think,must,think
12788,must ask,must,ask
61391,must honor,must,honor
18100,must remember,must,remember
83604,must involve,must,involve
15731,must vote,must,vote
96990,must disclose,must,disclose
9323,must learn,must,learn
97814,must carry,must,carry
50574,must read,must,read
7597,must act,must,act
47388,must share,must,share
47675,must seem,must,seem
5512,must continue,must,continue
97673,must resign,must,resign
35604,must serve,must,serve
32330,must reject,must,reject
83094,must adopt,must,adopt
44142,must support,must,support
17693,must defend,must,defend
8383,must end,must,end
29579,must register,must,register
8664,must win,must,win
9023,must provide,must,provide
40153,must focus,must,focus
44578,must demand,must,demand
63845,must run,must,run
62439,must die,must,die
6986,must stand,must,stand
51071,must develop,must,develop
7739,must use,must,use
17623,must consider,must,consider
61014,must place,must,place
16737,must answer,must,answer
53217,must reach,must,reach
24747,must respect,must,respect
31782,must try,must,try
96365,must listen,must,listen
9632,must fight,must,fight
15939,must meet,must,meet
15152,must address,must,address
32498,must obtain,must,obtain
36962,must report,must,report
8890,must decide,must,decide
56149,mystery surrounding,mystery,surround
50331,mystery man,mystery,man
92301,mystery novel,mystery,novel
58363,naked picture,naked,picture
18483,naked eye,naked,eye
41095,naked body,naked,body
72670,naked man,naked,man
22330,naked woman,naked,woman
58012,naked child,naked,child
55556,naked girl,naked,girl
80489,naked photo,naked,photo
73183,naked people,naked,people
90350,naked dress,naked,dress
79370,name behind,name,behind
84946,name around,name,around
26265,name come,name,come
50170,named storm,name,storm
21935,name given,name,give
93597,name listed,name,list
13854,name calling,name,call
47085,named president,name,president
93883,name seems,name,seem
79908,name since,name,since
78814,name include,name,include
67899,name identification,name,identification
38415,name came,name,come
66973,name including,name,include
69577,name became,name,become
19146,name suggests,name,suggests
18989,name name,name,name
78212,named executive,name,executive
42516,name appears,name,appear
29133,name appeared,name,appear
10455,name change,name,change
26924,name used,name,use
33381,named chief,name,chief
57371,name without,name,without
72545,name back,name,back
86792,name appear,name,appear
63397,named best,name,best
72213,name among,name,among
26755,name mean,name,mean
64493,name right,name,right
37645,narrative around,narrative,around
83157,narrative surrounding,narrative,surround
8714,nasty woman,nasty,woman
85167,nasty tweet,nasty,tweet
79579,nasty comment,nasty,comment
25441,nasty guy,nasty,guy
37533,nasty thing,nasty,thing
80500,nasty stuff,nasty,stuff
24334,nation building,nation,building
76210,nation right,nation,right
80143,nation le,nation,le
19209,nation must,nation,must
22124,nation together,nation,together
54137,nation today,nation,today
91583,nation safer,nation,safer
38957,nation face,nation,face
77035,nation remains,nation,remains
34010,nation since,nation,since
96082,nation already,nation,already
58087,nation including,nation,include
55604,nation built,nation,built
55718,nation divided,nation,divide
24342,nation safe,nation,safe
27641,nation around,nation,around
62699,nation within,nation,within
13740,nation need,nation,need
89680,nation last,nation,last
6263,nation state,nation,state
78359,nation across,nation,across
88753,nation cannot,nation,cannot
31476,nation without,nation,without
27138,national effort,national,effort
7961,national title,national,title
36826,national platform,national,platform
4644,national campaign,national,campaign
95925,national ranking,national,rank
62585,national immigration,national,immigration
33669,national program,national,program
1603,national convention,national,convention
98306,national threat,national,threat
87803,national opinion,national,opinion
646,national poll,national,poll
5056,national policy,national,policy
95347,national statistic,national,statistic
23547,national presidential,national,presidential
34869,national leadership,national,leadership
71612,national state,national,state
1604,national team,national,team
81605,national scrutiny,national,scrutiny
27112,national scene,national,scene
13133,national emergency,national,emergency
6922,national survey,national,survey
95689,national exit,national,exit
12467,national director,national,director
25226,national delegate,national,delegate
1714,national average,national,average
76574,national strike,national,strike
1781,national political,national,political
57670,national conference,national,conference
3274,national news,national,news
95518,national legislation,national,legislation
13153,national guard,national,guard
23370,national flag,national,flag
68013,national crime,national,crime
42132,national consensus,national,consensus
15952,national mood,national,mood
56548,national army,national,army
23474,national outrage,national,outrage
80290,national voter,national,voter
89497,national support,national,support
3241,national conversation,national,conversation
97364,national search,national,search
7196,national police,national,police
8278,national border,national,border
55506,national minimum,national,minimum
96975,national union,national,union
91339,national energy,national,energy
35229,national convicted,national,convict
4,national security,national,security
5583,national party,national,party
44296,national character,national,character
11963,national headline,national,headline
61578,national voting,national,voting
10748,national economy,national,economy
23829,national oil,national,oil
11970,national health,national,health
44264,national system,national,system
44260,national infrastructure,national,infrastructure
3679,national stage,national,stage
1115,national park,national,park
47697,national chain,national,chain
27361,national lead,national,lead
50511,national agenda,national,agenda
15443,national movement,national,movement
41075,national data,national,data
10796,national crisis,national,crisis
56767,national conservative,national,conservative
88172,national reporter,national,reporter
28354,national problem,national,problem
18338,national finance,national,finance
28334,national committee,national,committee
79196,national cable,national,cable
1506,national intelligence,national,intelligence
27207,national power,national,power
23600,national profile,national,profile
7499,national vote,national,vote
72556,national model,national,model
50970,national culture,national,culture
12882,national office,national,office
71108,national advocacy,national,advocacy
66451,national brand,national,brand
66073,national sport,national,sport
11330,national organization,national,organization
3640,national championship,national,championship
62299,national plan,national,plan
9019,national press,national,press
64005,national board,national,board
87958,national authority,national,authority
3834,national leader,national,leader
67262,national population,national,population
11586,national figure,national,figure
15240,national polling,national,polling
9110,national standard,national,standard
40566,national public,national,public
71885,national response,national,response
3614,national government,national,government
1353,national debt,national,debt
73674,national force,national,force
7842,national holiday,national,holiday
77935,national strategy,national,strategy
92723,national sale,national,sale
54710,national story,national,story
12426,national popular,national,popular
2162,national politics,national,politics
98849,national spokesperson,national,spokesperson
16339,national audience,national,audience
2144,national level,national,level
2122,national television,national,television
58678,national scandal,national,scandal
24836,national trend,national,trend
85100,national need,national,need
14378,national issue,national,issue
65412,national narrative,national,narrative
2094,national medium,national,medium
23197,national income,national,income
51729,national president,national,president
27565,national life,national,life
52485,national gun,national,gun
6041,national unity,national,unity
2256,national identity,national,identity
77500,national focus,national,focus
58384,national suicide,national,suicide
82001,national currency,national,currency
2368,national debate,national,debate
2365,national attention,national,attention
58398,national community,national,community
82294,national school,national,school
45682,national institution,national,institution
74254,national bank,national,bank
75356,national following,national,follow
13935,national referendum,national,referendum
23059,national economic,national,economic
59110,national decline,national,decline
64936,national home,national,home
33206,national controversy,national,controversy
74402,national history,national,history
34553,national candidate,national,candidate
39828,national event,national,event
22671,national newspaper,national,newspaper
13447,national discussion,national,discussion
33967,national rate,national,rate
51762,national disaster,national,disaster
93521,national executive,national,executive
88592,national education,national,education
92388,national right,national,right
26320,national politician,national,politician
44816,national parliament,national,parliament
19428,national network,national,network
84852,national approval,national,approval
586,national interest,national,interest
37544,national ticket,national,ticket
37467,national race,national,race
30414,national soccer,national,soccer
20804,national law,national,law
49566,national record,national,record
72701,national ban,national,ban
43600,national living,national,living
65639,national field,national,field
2669,national defense,national,defense
43843,national spokesman,national,spokesman
63574,national tour,national,tour
49325,national murder,national,murder
58874,national budget,national,budget
1990,national election,national,election
48147,national sample,national,sample
21928,national service,national,service
70225,national protest,national,protest
68788,national governing,national,govern
92428,national address,national,address
18788,national group,national,group
39715,national radio,national,radio
65171,national market,national,market
45240,national secret,national,secret
72937,nationalist right,nationalist,right
11187,nationalist party,nationalist,party
22170,nationalist leader,nationalist,leader
84434,nationalist rhetoric,nationalist,rhetoric
12111,nationalist group,nationalist,group
61522,nationalist view,nationalist,view
88901,nationalist populist,nationalist,populist
30565,nationalist agenda,nationalist,agenda
92232,nationalist politician,nationalist,politician
7670,nationalist movement,nationalist,movement
84586,nationalist policy,nationalist,policy
25084,nationally representative,nationally,representative
84125,nationwide movement,nationwide,movement
17017,nationwide protest,nationwide,protest
51835,nationwide effort,nationwide,effort
78014,nationwide poll,nationwide,poll
39818,nationwide debate,nationwide,debate
73370,nationwide campaign,nationwide,campaign
48299,nationwide ban,nationwide,ban
41078,natural hair,natural,hair
7440,natural world,natural,world
77492,natural home,natural,home
83375,natural course,natural,course
15719,natural light,natural,light
2423,natural born,natural,born
43287,natural state,natural,state
41809,natural process,natural,process
70400,natural response,natural,response
38404,natural history,natural,history
1877,natural disaster,natural,disaster
38381,natural reaction,natural,reaction
21684,natural ally,natural,ally
9629,natural right,natural,right
7713,natural cause,natural,cause
22588,natural fit,natural,fit
65813,natural talent,natural,talent
74604,natural science,natural,science
68998,natural life,natural,life
663,natural gas,natural,gas
48040,natural food,natural,food
46160,natural wonder,natural,wonder
46877,natural choice,natural,choice
54322,natural human,natural,human
76715,natural part,natural,part
2067,natural resource,natural,resource
94254,natural person,natural,person
86069,natural next,natural,next
52621,natural death,natural,death
21972,natural law,natural,law
53338,natural way,natural,way
37194,natural thing,natural,thing
47035,natural leader,natural,leader
38302,natural order,natural,order
64313,natural politician,natural,politician
62862,natural conservative,natural,conservative
34888,natural language,natural,language
15931,natural beauty,natural,beauty
95057,near low,near,low
42706,near downtown,near,downtown
63656,near tear,near,tear
33509,near daily,near,daily
41733,near record,near,record
70161,near historic,near,historic
48660,near enough,near,enough
75563,near full,near,full
30710,near zero,near,zero
25283,near impossible,near,impossible
31714,near death,near,death
57355,near miss,near,miss
97968,near universal,near,universal
696,near future,near,future
8689,near term,near,term
19291,near post,near,post
63329,near campus,near,campus
79099,near total,near,total
79825,nearby park,nearby,park
74706,nearby television,nearby,television
50276,nearby apartment,nearby,apartment
65158,nearby house,nearby,house
55269,nearby water,nearby,water
49034,nearby street,nearby,street
34761,nearby resident,nearby,resident
60595,nearby hotel,nearby,hotel
50829,nearby community,nearby,community
77540,nearby state,nearby,state
73029,nearby field,nearby,field
38996,nearby restaurant,nearby,restaurant
85955,nearby star,nearby,star
75666,nearby road,nearby,road
77055,nearby car,nearby,car
4450,nearby hospital,nearby,hospital
13415,nearby city,nearby,city
92641,nearby office,nearby,office
18366,nearby home,nearby,home
36685,nearby parking,nearby,parking
38435,nearby bar,nearby,bar
61104,nearby police,nearby,police
92280,nearby beach,nearby,beach
95993,nearby business,nearby,business
26563,nearby school,nearby,school
44157,nearby area,nearby,area
76516,nearby neighborhood,nearby,neighborhood
17929,nearby village,nearby,village
66616,nearby church,nearby,church
76302,nearby table,nearby,table
14415,nearby building,nearby,building
68588,nearby store,nearby,store
6683,nearby town,nearby,town
71727,nearby tree,nearby,tree
95893,nearly war,nearly,war
6342,nearly twice,nearly,twice
10063,nearly everything,nearly,everything
35010,nearly universal,nearly,universal
94289,nearly anything,nearly,anything
97556,nearly came,nearly,come
1696,nearly impossible,nearly,impossible
65919,nearly broke,nearly,broke
95880,nearly dead,nearly,dead
31200,nearly ten,nearly,ten
398,nearly every,nearly,every
54872,nearly finished,nearly,finish
83529,nearly brought,nearly,brought
97453,nearly far,nearly,far
7415,nearly everyone,nearly,everyone
44419,nearly equal,nearly,equal
92470,nearly everybody,nearly,everybody
32064,nearly lost,nearly,lose
70891,nearly full,nearly,full
88483,nearly unprecedented,nearly,unprecedented
8255,nearly double,nearly,double
77017,nearly video,nearly,video
39077,nearly empty,nearly,empty
29623,nearly died,nearly,die
728,nearly half,nearly,half
5361,nearly enough,nearly,enough
19504,nearly killed,nearly,kill
27924,nearly always,nearly,always
95295,necessary permit,necessary,permit
91687,necessary tool,necessary,tool
52323,necessary vote,necessary,vote
57884,necessary change,necessary,change
54083,necessary condition,necessary,condition
44613,necessary action,necessary,action
44694,necessary evil,necessary,evil
98932,necessary work,necessary,work
89644,necessary support,necessary,support
62928,necessary part,necessary,part
71562,necessary information,necessary,information
60487,necessary reform,necessary,reform
7562,necessary step,necessary,step
50862,necessary barrier,necessary,barrier
21871,necessary measure,necessary,measure
62147,necessary delegate,necessary,delegate
35775,necessary resource,necessary,resource
97642,necessary service,necessary,service
75100,necessary medical,necessary,medical
50381,need good,need,good
88660,need anybody,need,anybody
25768,needed time,need,time
70498,need come,need,come
8061,need something,need,something
70433,need extra,need,extra
74465,need woman,need,woman
87419,needed reform,need,reform
96657,needed treatment,need,treatment
11333,need time,need,time
39023,need leadership,need,leadership
1351,need help,need,help
43440,need answer,need,answer
82882,need around,need,around
18209,need money,need,money
41761,need anything,need,anything
8586,need new,need,new
35500,needed someone,need,someone
13422,need better,need,well
79260,need immediate,need,immediate
40396,needed money,need,money
79724,need anyone,need,anyone
83259,need radical,need,radical
9094,need people,need,people
32352,need change,need,change
25612,need strong,need,strong
66895,need unity,need,unity
63709,need student,need,student
57837,need today,need,today
91530,needed new,need,new
97624,needed fund,need,fund
74296,need attention,need,attention
28344,need support,need,support
35999,needed medical,need,medical
6254,needed help,need,help
36066,need loyalty,need,loyalty
48410,need additional,need,additional
49895,need treatment,need,treatment
22931,needed something,need,something
94475,need safe,need,safe
82869,needed anything,need,anything
89750,need changing,need,change
9865,need another,need,another
26062,need access,need,access
65780,need leader,need,leader
68612,needed another,need,another
55888,need public,need,public
62656,need real,need,real
68446,need care,need,care
87727,need congressional,need,congressional
60361,needed change,need,change
60664,need work,need,work
46241,need everyone,need,everyone
95637,need friend,need,friend
25216,need every,need,every
31436,need le,need,le
59550,need medical,need,medical
94028,need information,need,information
43650,need government,need,government
75027,need law,need,law
77722,need approval,need,approval
78877,need fewer,need,few
11545,need right,need,right
4944,need someone,need,someone
67654,need big,need,big
34978,need protection,need,protection
42233,need job,need,job
17397,need somebody,need,somebody
38638,need reform,need,reform
75505,need health,need,health
14651,negative review,negative,review
14758,negative publicity,negative,publicity
40724,negative response,negative,response
63183,negative mass,negative,mass
21058,negative way,negative,way
74240,negative number,negative,number
67619,negative economic,negative,economic
19406,negative attention,negative,attention
15640,negative press,negative,press
67133,negative message,negative,message
3232,negative impact,negative,impact
16635,negative light,negative,light
42402,negative advertising,negative,advertising
12274,negative interest,negative,interest
62725,negative word,negative,word
39791,negative attack,negative,attack
3150,negative effect,negative,effect
88668,negative term,negative,term
74162,negative rate,negative,rate
15387,negative coverage,negative,coverage
41585,negative energy,negative,energy
34039,negative side,negative,side
21101,negative headline,negative,headline
15921,negative story,negative,story
95710,negative health,negative,health
19793,negative comment,negative,comment
81388,negative information,negative,information
85136,negative image,negative,image
26171,negative rating,negative,rating
77960,negative trend,negative,trend
26475,negative territory,negative,territory
6770,negative ad,negative,ad
10556,negative thing,negative,thing
22360,negative news,negative,news
79790,negative statement,negative,statement
47954,negative thought,negative,thought
10266,negative view,negative,view
45456,negative result,negative,result
24196,negative feeling,negative,feel
76381,negative poll,negative,poll
26170,negative campaign,negative,campaign
49311,negative opinion,negative,opinion
26071,negative experience,negative,experience
22708,negative medium,negative,medium
8316,negative reaction,negative,reaction
48798,negotiation process,negotiation,process
82314,negotiation begin,negotiation,begin
94382,negotiation broke,negotiation,broke
31299,negotiation since,negotiation,since
98042,negotiation without,negotiation,without
22120,neighborhood watch,neighborhood,watch
52753,neighborhood around,neighborhood,around
43984,neighborhood near,neighborhood,near
33624,neighborhood school,neighborhood,school
68435,neighborhood policing,neighborhood,police
65096,neighborhood called,neighborhood,call
55820,neighborhood group,neighborhood,group
86578,neighborhood kid,neighborhood,kid
87502,neighborhood resident,neighborhood,resident
90365,neighborhood across,neighborhood,across
66123,nerve pain,nerve,pain
2852,nerve agent,nerve,agent
22762,nerve gas,nerve,gas
40575,nerve center,nerve,center
37522,nerve cell,nerve,cell
27925,nerve damage,nerve,damage
3187,nervous system,nervous,system
61448,nervous energy,nervous,energy
39799,net job,net,job
92165,net increase,net,increase
68810,net program,net,program
83707,net interest,net,interest
635,net worth,net,worth
61972,net benefit,net,benefit
25175,net gain,net,gain
31111,net result,net,result
32500,net negative,net,negative
32481,net effect,net,effect
12058,net income,net,income
26226,net migration,net,migration
36572,net profit,net,profit
28312,net operating,net,operating
14107,net positive,net,positive
86923,net sale,net,sale
77889,net immigration,net,immigration
58518,net revenue,net,revenue
62996,net cash,net,cash
85983,network broadcast,network,broadcast
19142,network news,network,news
98552,network want,network,want
94124,network chief,network,chief
62482,network around,network,around
73711,network behind,network,behind
63130,network market,network,market
28283,network show,network,show
19313,network television,network,television
21745,network announced,network,announce
58171,network reported,network,report
74880,network effect,network,effect
96485,network used,network,use
34919,network since,network,since
45335,network last,network,last
87247,network including,network,include
38309,network called,network,call
14204,network executive,network,executive
63549,network security,network,security
93879,network run,network,run
51149,new thinking,new,think
18435,new culture,new,culture
98270,new radio,new,radio
7743,new property,new,property
24179,new community,new,community
50037,new condition,new,condition
51175,new legislative,new,legislative
96203,new street,new,street
75283,new general,new,general
7751,new legal,new,legal
31628,new unit,new,unit
78700,new ethic,new,ethic
35006,new arm,new,arm
6975,new work,new,work
72074,new future,new,future
60738,new colleague,new,colleague
96033,new faith,new,faith
14793,new board,new,board
73285,new leaf,new,leaf
67651,new history,new,history
91528,new safety,new,safety
24187,new amendment,new,amendment
27632,new play,new,play
26028,new figure,new,figure
51194,new employer,new,employer
31661,new sense,new,sense
18376,new nominee,new,nominee
78741,new climate,new,climate
25256,new theory,new,theory
43697,new growth,new,growth
54097,new startup,new,startup
12204,new experience,new,experience
40622,new vote,new,vote
91475,new floor,new,floor
3644,new foreign,new,foreign
73247,new bike,new,bike
11148,new character,new,character
34897,new statement,new,statement
3601,new hotel,new,hotel
18408,new war,new,war
14935,new source,new,source
75353,new gene,new,gene
46614,new ownership,new,ownership
5608,new face,new,face
86882,new statistic,new,statistic
14959,new venture,new,venture
24138,new talent,new,talent
60910,new streaming,new,stream
41971,new potential,new,potential
5616,new relationship,new,relationship
4335,new survey,new,survey
26086,new medical,new,medical
46201,new controversy,new,controversy
71592,new time,new,time
24263,new change,new,change
46226,new birth,new,birth
86713,new sound,new,sound
12109,new prime,new,prime
98494,new column,new,column
40347,new computer,new,computer
95255,new division,new,division
10645,new restaurant,new,restaurant
57336,new window,new,window
37244,new investor,new,investor
20151,new hope,new,hope
582,new way,new,way
12932,new musical,new,musical
71642,new comment,new,comment
34810,new star,new,star
37221,new father,new,father
91774,new society,new,society
29713,new site,new,site
10628,new career,new,career
53234,new foundation,new,foundation
1928,new level,new,level
13027,new attack,new,attack
62885,new citizen,new,citizen
1905,new role,new,role
51594,new draft,new,draft
95158,new branch,new,branch
65427,new institution,new,institution
48270,new wall,new,wall
23299,new concept,new,concept
82365,new promise,new,promise
25105,new food,new,food
75071,new picture,new,picture
3385,new project,new,project
40272,new station,new,station
98570,new supreme,new,supreme
20083,new court,new,court
3415,new thing,new,thing
37352,new girl,new,girl
60276,new church,new,church
60679,new science,new,science
82567,new white,new,white
21073,new regime,new,regime
53342,new momentum,new,momentum
46395,new tunnel,new,tunnel
18526,new justice,new,justice
1764,new idea,new,idea
12139,new finding,new,find
37072,new aircraft,new,aircraft
16015,new skill,new,skill
84499,new hot,new,hot
12138,new economic,new,economic
8847,new mother,new,mother
84482,new truck,new,truck
20245,new digital,new,digital
46478,new screening,new,screen
4318,new people,new,people
57153,new loan,new,loan
26087,new tech,new,tech
17520,new presidential,new,presidential
4309,new contract,new,contract
43589,new credit,new,credit
91740,new university,new,university
3522,new leadership,new,leadership
55816,new engine,new,engine
20176,new online,new,online
51488,new flight,new,flight
6836,new music,new,music
46343,new narrative,new,narrative
57288,new bus,new,bus
4354,new line,new,line
60512,new judge,new,judge
37178,new status,new,status
3516,new song,new,song
75196,new highway,new,highway
68174,new doctor,new,doctor
4348,new bill,new,bill
4340,new friend,new,friend
9724,new design,new,design
28649,new action,new,action
43535,new religious,new,religious
95513,new glass,new,glass
10683,new service,new,service
32797,new satellite,new,satellite
5289,new ad,new,ad
23064,new identity,new,identity
80154,new populist,new,populist
61503,new decision,new,decision
97019,new left,new,left
79297,new running,new,run
44042,new camera,new,camera
50330,new control,new,control
15367,new website,new,website
5436,new documentary,new,documentary
18052,new method,new,method
17815,new housing,new,housing
83115,new complaint,new,complaint
7524,new location,new,location
41693,new club,new,club
61579,new reason,new,reason
20752,new television,new,television
20749,new house,new,house
4106,new form,new,form
35504,new governor,new,governor
61580,new communication,new,communication
56273,new color,new,color
3874,new case,new,case
1178,new information,new,information
20586,new coal,new,coal
97726,new live,new,live
856,new home,new,home
61354,new investigative,new,investigative
23743,new border,new,border
35403,new mission,new,mission
41184,new scrutiny,new,scrutiny
79152,new employment,new,employment
9392,new territory,new,territory
61387,new concern,new,concern
12520,new user,new,user
1257,new world,new,world
15296,new interview,new,interview
35431,new husband,new,husband
9105,new piece,new,piece
41286,new special,new,special
67084,new insurance,new,insurance
7357,new city,new,city
4120,new program,new,program
75587,new danger,new,danger
18013,new word,new,word
35339,new limit,new,limit
90620,new card,new,card
79409,new fashion,new,fashion
61728,new opening,new,opening
66566,new assistant,new,assistant
979,new poll,new,poll
43922,new machine,new,machine
10940,new term,new,term
5398,new opportunity,new,opportunity
9224,new settlement,new,settlement
66737,new terror,new,terror
97374,new private,new,private
25529,new international,new,international
5395,new challenge,new,challenge
32148,new theme,new,theme
90447,new minority,new,minority
1027,new life,new,life
4017,new movie,new,movie
25557,new center,new,center
56399,new price,new,price
50461,new illegal,new,illegal
3979,new owner,new,owner
79538,new eye,new,eye
61713,new jet,new,jet
5400,new party,new,party
9159,new country,new,country
79429,new independent,new,independent
27467,new reader,new,reader
97105,new distribution,new,distribution
66515,new resource,new,resource
72852,new battle,new,battle
32100,new network,new,network
66850,new permanent,new,permanent
23844,new post,new,post
90274,new little,new,little
15420,new partner,new,partner
15422,new charge,new,charge
79685,new ruling,new,ruling
41441,new human,new,human
83366,new coverage,new,coverage
79521,new air,new,air
35563,new capital,new,capital
97414,new diplomatic,new,diplomatic
56339,new best,new,best
97087,new server,new,server
842,new generation,new,generation
27428,new black,new,black
79881,new poster,new,poster
40823,new process,new,process
82854,new proposed,new,propose
50108,new cast,new,cast
40851,new sign,new,sign
4192,new question,new,question
56904,new move,new,move
50121,new charter,new,charter
35131,new suit,new,suit
75465,new screen,new,screen
15842,new energy,new,energy
50967,new stuff,new,stuff
20398,new teacher,new,teacher
56872,new battery,new,battery
17682,new release,new,release
82888,new estimate,new,estimate
18257,new economy,new,economy
23658,new staff,new,staff
31815,new agency,new,agency
36486,new dynamic,new,dynamic
78916,new flag,new,flag
78899,new graduate,new,graduate
15033,new area,new,area
76184,new sentencing,new,sentence
43723,new agenda,new,agenda
12736,new spending,new,spending
47916,new barrier,new,barrier
32640,new progressive,new,progressive
15885,new construction,new,construction
83997,new art,new,art
25880,new drama,new,drama
12733,new app,new,app
35056,new fighter,new,fighter
82821,new memo,new,memo
35072,new shoe,new,shoe
12244,new worker,new,worker
12250,new front,new,front
80144,new fundraising,new,fundraise
20361,new industry,new,industry
40182,new reporting,new,reporting
29416,new comedy,new,comedy
40805,new presidency,new,presidency
67466,new agent,new,agent
12273,new material,new,material
15796,new voice,new,voice
36413,new hit,new,hit
27392,new platform,new,platform
31858,new claim,new,claim
87136,new turn,new,turn
56754,new supporter,new,supporter
7221,new investment,new,investment
46992,new love,new,love
17756,new management,new,management
97818,new tweet,new,tweet
15171,new issue,new,issue
76022,new red,new,red
22201,new funding,new,funding
18182,new police,new,police
79057,new major,new,major
97762,new local,new,local
4149,new legislation,new,legislation
79904,new seat,new,seat
7239,new proposal,new,proposal
25787,new factory,new,factory
19532,new allegation,new,allegation
31855,new fund,new,fund
11099,new social,new,social
22025,new attention,new,attention
9450,new age,new,age
9039,new election,new,election
96439,new lifestyle,new,lifestyle
72276,new district,new,district
44220,new exhibition,new,exhibition
