word,start_count,end_count,after,all_words
way,57,192,"['back' 'around' 'forward' 'people' 'home' 'toward' 'thing' 'possible'
 'beyond' 'across' 'past' 'better' 'since' 'onto' 'woman' 'clear' 'behind'
 'away' 'towards' 'le' 'without' 'inside' 'every' 'round' 'station' 'men'
 'north' 'worse' 'related' 'others' 'different' 'employee' 'right'
 'outside' 'police' 'anyone' 'life' 'bigger' 'human' 'black' 'politician'
 'along' 'race' 'similar' 'short' 'south' 'conservative' 'liberal'
 'immigration' 'meant' 'due']",249
attacking,5,11,['people' 'police' 'woman' 'protester' 'former'],16
mass,56,17,"['shooting' 'migration' 'murder' 'immigration' 'deportation' 'killing'
 'protest' 'medium' 'public' 'index' 'surveillance' 'market' 'execution'
 'movement' 'audience' 'arrest' 'production' 'sexual' 'violence'
 'unemployment' 'sex' 'killer' 'rape' 'evacuation' 'email' 'rally' 'civil'
 'appeal' 'culture' 'attack' 'panic' 'amnesty' 'voter' 'gathering'
 'homicide']",73
becoming,20,15,"['president' 'increasingly' 'le' 'clear' 'law' 'involved' 'pregnant'
 'part' 'another' 'harder' 'prime' 'known' 'something' 'ever' 'reality']",35
note,5,63,['read' 'written' 'sent' 'another' 'taken'],68
forced,12,11,['labor' 'marriage' 'abortion' 'upon' 'entry' 'onto' 'back' 'evacuation'],23
number,33,136,"['show' 'since' 'among' 'come' 'suggest' 'dropped' 'rose' 'needed' 'came'
 'released' 'listed' 'continue' 'rise' 'game' 'reflect' 'fell'
 'represents' 'increased' 'remain' 'around' 'includes' 'drop' 'showed'
 'seem' 'mean' 'reported' 'coming' 'keep' 'increase' 'get' 'stood']",169
blame,7,11,['game' 'others' 'anyone' 'people' 'everything' 'onto'],18
address,18,41,"['climate' 'concern' 'issue' 'question' 'whether' 'last' 'conflict' 'book'
 'problem' 'racial' 'global' 'system' 'current' 'immigration' 'used'
 'specific' 'listed']",59
regularly,13,4,"['scheduled' 'used' 'work' 'called' 'attend' 'call' 'since' 'attended'
 'use' 'get']",17
brown,9,4,['people' 'hair' 'eye' 'skin' 'sugar' 'paper'],13
appointed,10,11,"['former' 'official' 'half' 'head' 'chief' 'deputy' 'attorney' 'special'
 'director']",21
key,129,9,"['role' 'issue' 'part' 'point' 'state' 'player' 'question' 'figure' 'fact'
 'swing' 'factor' 'ally' 'member' 'difference' 'area' 'thing' 'reason'
 'position' 'moment' 'piece' 'campaign' 'word' 'witness' 'detail'
 'adviser' 'source' 'leader' 'city' 'policy' 'decision' 'national'
 'finding' 'step' 'feature' 'information' 'problem' 'political' 'way'
 'demographic' 'aide' 'event' 'concern' 'partner' 'demand' 'voting'
 'evidence' 'theme' 'post' 'driver' 'people' 'strategic' 'vote' 'foreign'
 'message' 'test' 'change' 'headline' 'military' 'location' 'official'
 'committee' 'staff' 'industry' 'business' 'goal' 'job' 'senator'
 'administration' 'challenge' 'group' 'country' 'card' 'economic' 'county'
 'claim' 'government' 'focus' 'voice' 'early' 'primary' 'statement'
 'chain' 'supporter' 'term' 'document' 'line' 'interest' 'election'
 'argument' 'leadership' 'asset' 'objective' 'conservative' 'lawmaker'
 'power' 'target' 'legal' 'sector' 'victory' 'tool' 'idea']",138
conspiracy,4,15,['theory' 'charge' 'involving'],19
male,55,21,"['student' 'colleague' 'friend' 'victim' 'character' 'voter' 'model'
 'relative' 'partner' 'actor' 'body' 'employee' 'candidate' 'suspect'
 'officer' 'leader' 'passenger' 'feminist' 'voice' 'role' 'member' 'lead'
 'sexual' 'worker' 'executive' 'migrant' 'child' 'politician' 'behavior'
 'teacher' 'reporter' 'college' 'artist' 'patient' 'fan' 'director'
 'mosquito' 'journalist' 'star' 'client' 'player' 'adult' 'couple']",76
originally,38,5,"['appeared' 'scheduled' 'planned' 'published' 'intended' 'stated'
 'thought' 'reported' 'written' 'set' 'asked' 'wanted' 'posted' 'built'
 'filed' 'created' 'meant' 'expected' 'came' 'developed' 'called'
 'promised' 'introduced' 'proposed' 'brought' 'estimated' 'known' 'found'
 'claimed']",43
seriously,20,18,"['injured' 'considering' 'ill' 'wounded' 'considered' 'consider' 'hurt'
 'enough' 'wrong' 'think' 'threatening' 'belief']",38
apparent,24,7,"['lack' 'reason' 'effort' 'suicide' 'belief' 'terrorist' 'practice'
 'conflict' 'response' 'political' 'foreign' 'double']",31
