,w1,w2,combo,lem1,lem2,phrase
1657,legalising,marriage,legalising marriage,legalising,marriage,legalising marriage
1658,marriage,nationwide,marriage nationwide,marriage,nationwide,marriage nationwide
1664,executive,orders,executive orders,executive,order,executive order
1665,orders,shall,orders shall,order,shall,order shall
1672,restrict,access,restrict access,restrict,access,restrict access
1675,sexual,orientation,sexual orientation,sexual,orientation,sexual orientation
1676,orientation,change,orientation change,orientation,change,orientation change
1677,change,efforts,change efforts,change,effort,change effort
1683,also,says,also says,also,say,also say
1688,chosen,behavior,chosen behavior,chosen,behavior,chosen behavior
1695,fundamental,unchanging,fundamental unchanging,fundamental,unchanging,fundamental unchanging
1696,unchanging,truths,unchanging truths,unchanging,truth,unchanging truth
1728,gay,nightclub,gay nightclub,gay,nightclub,gay nightclub
1734,adds,urgency,adds urgency,add,urgency,add urgency
1741,practice,founded,practice founded,practice,founded,practice founded
1783,major,problems,major problems,major,problem,major problem
1787,whole,reparative,whole reparative,whole,reparative,whole reparative
1788,reparative,therapy,reparative therapy,reparative,therapy,reparative therapy
1789,therapy,movement,therapy movement,therapy,movement,therapy movement
1793,reparative,therapy,reparative therapy,reparative,therapy,reparative therapy
1794,therapy,works,therapy works,therapy,work,therapy work
1798,healthy,thing,healthy thing,healthy,thing,healthy thing
1820,lot,easier,lot easier,lot,easier,lot easier
1831,sinner,made,sinner made,sinner,made,sinner made
1849,feel,like,feel like,feel,like,feel like
1861,gay,since,gay since,gay,since,gay since
1865,probably,ten,probably ten,probably,ten,probably ten
1881,terrible,event,terrible event,terrible,event,terrible event
1887,another,part,another part,another,part,another part
1892,another,part,another part,another,part,another part
